ROWID,fir_number,brief_facts,crime_category,date_reported,district,police_station,status,latitude,longitude,gravity,crime_major_head,crime_minor_head,court_name,incident_from_date,incident_to_date,info_received_date
14,YSHW-0001/2024,"Acting on a tip-off, a raid was conducted on 05/08/2024 around 6:45 AM at a rented room in Yeshwanthpur where 2 kg of ganja packed in small pouches was recovered along with cash of Rs. 65,000. The accused was peddling near the Jayanagar college campus.",FIR,2024-08-05,Bengaluru City,Yeshwanthpur PS,Under Investigation,12.971859,77.575888,Non-Heinous,Narcotics,Ganja Possession,Bengaluru City District Court,2024-08-05 06:17:00,2024-08-05 06:44:00,2024-08-05 07:25:56
15,STTN-0001/2024,"The complainant reported that on 05/08/2024 around 2:45 PM his neighbour in Station Bazar, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-08-06,Kalaburagi,Station Bazar PS,Charge Sheeted,17.372399,76.801541,Non-Heinous,Crimes Against Body,Assault,Kalaburagi District Court,2024-08-05 14:28:00,2024-08-05 18:20:00,2024-08-06 11:24:04
16,KDRK-0001/2024,"The complainant of Kadri reported that the accused has been following her daily from her office to her residence since the past month, waiting near the metro station around 11:15 AM and repeatedly calling from different numbers. On 06/08/2024 he threatened her when she confronted him.",FIR,2024-08-08,Mangaluru,Kadri PS,Charge Sheeted,12.932966,74.809565,Non-Heinous,Crimes Against Women,Stalking,Mangaluru District Court,2024-08-06 11:52:00,2024-08-06 11:57:00,2024-08-07 12:24:34
17,SRGT-0002/2024,"Following a dispute during a local procession on 06/08/2024 around 6:15 PM, members of two communities gathered at Sira Gate armed with sticks and stones and indulged in rioting, injuring 3 persons including a police constable. Prohibitory orders were promulgated.",FIR,2024-08-08,Tumakuru,Sira Gate PS,Under Investigation,13.296763,77.142143,Non-Heinous,Public Order,Rioting,Tumakuru District Court,2024-08-06 18:28:00,2024-08-06 22:09:00,2024-08-07 23:13:00
18,KTKO-0002/2024,"On 07/08/2024 around 11:00 AM, following a dispute over parking near the park entrance in Kote, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-08-09,Shivamogga,Kote PS,Charge Sheeted,13.89498,75.520854,Non-Heinous,Crimes Against Body,Assault,Shivamogga District Court,2024-08-07 11:09:00,2024-08-07 14:24:00,2024-08-09 07:09:17
19,KVMP-0001/2024,"The complainant reported that on 07/08/2024 around 6:45 AM, while waiting near the metro station in Kuvempunagar, the accused passed lewd remarks and attempted to grab her hand despite her protests. Onlookers intervened and the accused fled towards Devaraja.",FIR,2024-08-08,Mysuru,Kuvempunagar PS,Under Investigation,12.322572,76.655926,Non-Heinous,Crimes Against Women,Harassment,Mysuru District Court,2024-08-07 06:04:00,2024-08-07 09:22:00,2024-08-07 21:49:21
20,BRKB-0002/2024,"On 07/08/2024 around 4:00 PM, the complainant's mobile phone worth Rs. 49,000 was stolen from his pocket while boarding a crowded bus near the main road junction in Barke. The IMEI number has been noted for tracking.",FIR,2024-08-09,Mangaluru,Barke PS,Under Investigation,12.886292,74.819895,Non-Heinous,Property Crimes,Mobile Phone Theft,Mangaluru District Court,2024-08-07 16:02:00,2024-08-07 18:39:00,2024-08-07 17:02:36
21,TMKR-0001/2024,"The complainant of Tumakuru Town was added to a trading group on a messaging app in which fraudsters promised 24% monthly returns on stock investments. Between 07/08/2024 and the following weeks he transferred Rs. 1,207,000 to various UPI IDs. When he attempted to withdraw, the app was disabled and the group deleted.",FIR,2024-08-07,Tumakuru,Tumakuru Town PS,Closed,13.381187,77.139756,Non-Heinous,Cyber Crimes,Investment Scam,Tumakuru District Court,2024-08-07 10:54:00,2024-08-07 14:19:00,2024-08-07 23:45:09
22,BRCP-0001/2024,"The complainant reported theft of his grey KTM motorcycle from the paid parking lot near the Bruce Pete railway station on 08/08/2024 around 3:45 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 75,000.",FIR,2024-08-09,Ballari,Bruce Pete PS,Closed,15.125761,76.910054,Non-Heinous,Property Crimes,Vehicle Theft,Ballari District Court,2024-08-08 03:34:00,2024-08-08 06:47:00,2024-08-09 02:01:09
23,KRMN-0002/2024,"The complainant, married for 2 years and residing at Koramangala, reported that her husband and in-laws subjected her to physical and mental cruelty demanding additional dowry of Rs. 850,000. On 08/08/2024 around 9:00 AM she was assaulted and driven out of the matrimonial home.",FIR,2024-08-09,Bengaluru City,Koramangala PS,Charge Sheeted,12.932768,77.547941,Non-Heinous,Crimes Against Women,Domestic Cruelty,Bengaluru City District Court,2024-08-08 09:59:00,2024-08-08 11:12:00,2024-08-09 01:31:46
24,INDR-0001/2024,"On 09/08/2024 around 10:15 PM, the complainant, a resident of Indiranagar, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 374,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2024-08-10,Bengaluru City,Indiranagar PS,Closed,12.943786,77.591864,Non-Heinous,Cyber Crimes,OTP Fraud,Bengaluru City District Court,2024-08-09 22:20:00,2024-08-10 02:00:00,2024-08-10 21:07:01
25,DDDP-0001/2024,"On 10/08/2024 around 5:00 PM, three unknown persons armed with knives waylaid the complainant near the bus stop in Doddapete and robbed him of cash Rs. 79,000, a gold ring and his mobile phone. The accused threatened him with dire consequences before escaping on a blue Activa scooter.",Zero FIR,2024-08-11,Shivamogga,Doddapete PS,Charge Sheeted,13.938691,75.593348,Non-Heinous,Property Crimes,Robbery,Shivamogga District Court,2024-08-10 17:19:00,2024-08-10 21:11:00,2024-08-11 20:16:40
26,TLKN-0001/2024,"On 10/08/2024, the complainant bank at Tilak Nagar reported that a borrower availed a gold loan of Rs. 1,696,000 by pledging spurious gold ornaments. The fraud came to light during the annual verification of pledged articles.",FIR,2024-08-10,Shivamogga,Tilak Nagar PS,Closed,13.905194,75.550495,Non-Heinous,Economic Offences,Bank Fraud,Shivamogga District Court,2024-08-10 11:08:00,2024-08-10 13:35:00,2024-08-10 20:47:53
27,NTTV-0002/2024,"On 11/08/2024, the complainant bank at Nittuvalli reported that a borrower availed a gold loan of Rs. 307,000 by pledging spurious gold ornaments. The fraud came to light during the annual verification of pledged articles.",FIR,2024-08-11,Davanagere,Nittuvalli PS,Charge Sheeted,14.488168,75.94502,Non-Heinous,Economic Offences,Bank Fraud,Davanagere District Court,2024-08-11 14:48:00,2024-08-11 17:03:00,2024-08-11 18:52:07
28,JYNG-0003/2024,"The complainant of Jayanagar reported that the accused has been following her daily from her office to her residence since the past month, waiting near the temple street around 1:00 PM and repeatedly calling from different numbers. On 12/08/2024 he threatened her when she confronted him.",FIR,2024-08-13,Bengaluru City,Jayanagar PS,Closed,13.00913,77.620576,Non-Heinous,Crimes Against Women,Stalking,Bengaluru City District Court,2024-08-12 13:48:00,2024-08-12 14:49:00,2024-08-13 15:49:36
29,JYNG-0004/2024,"On 12/08/2024, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 1,056,000 in tranches from her account in Jayanagar. The platform domain was registered abroad and has since gone offline.",UDR,2024-08-14,Bengaluru City,Jayanagar PS,Closed,12.973594,77.576744,Non-Heinous,Cyber Crimes,Investment Scam,Bengaluru City District Court,2024-08-12 20:35:00,2024-08-12 23:33:00,2024-08-13 05:18:18
30,JYNG-0005/2024,"On the night of 12/08/2024, unknown persons broke the rear door lock of the complainant's residence in Jayanagar and committed theft of gold ornaments and cash totalling Rs. 760,000 while the family was away at their native place. Neighbours reported a black Scorpio SUV parked near the gate around 12:15 AM.",FIR,2024-08-12,Bengaluru City,Jayanagar PS,Under Investigation,12.917187,77.552481,Non-Heinous,Property Crimes,House Burglary,Bengaluru City District Court,2024-08-12 00:53:00,2024-08-12 04:16:00,2024-08-12 22:48:06
31,DVRJ-0001/2024,"The complainant, a resident of Devaraja, reported that while returning from the market around 8:00 AM on 13/08/2024, the pillion rider of a black Pulsar motorcycle without number plates snatched her mangalsutra valued at Rs. 71,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2024-08-14,Mysuru,Devaraja PS,Under Investigation,12.231858,76.589846,Non-Heinous,Property Crimes,Chain Snatching,Mysuru District Court,2024-08-13 08:54:00,2024-08-13 10:20:00,2024-08-13 11:18:29
32,BRHM-0001/2024,"On credible information, police intercepted a grey KTM motorcycle near Brahmpur on 14/08/2024 around 1:00 PM and seized LSD strips and MDMA crystals worth Rs. 673,000 from the rider. The accused was supplying synthetic drugs to students around MSK Mill. Forward and backward linkages are being investigated.",FIR,2024-08-15,Kalaburagi,Brahmpur PS,Closed,17.375443,76.820944,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Kalaburagi District Court,2024-08-14 13:03:00,2024-08-14 14:36:00,2024-08-15 04:37:33
33,CBBN-0001/2024,"On 14/08/2024 around 6:00 PM, the accused, harbouring a grudge over an old rivalry, attacked the complainant with a machete near the vegetable market in Cubbon Park, inflicting deep cut injuries on his shoulder and forearm. Passers-by rushed the injured to hospital where his condition is stated to be stable.",UDR,2024-08-15,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.974796,77.560661,Heinous,Crimes Against Body,Attempt to Murder,Bengaluru City District Court,2024-08-14 18:54:00,2024-08-14 21:09:00,2024-08-15 16:09:06
34,YSHW-0002/2024,"On 15/08/2024 around 6:30 PM, an unknown white van moving at high speed knocked down a pedestrian crossing the road near the vegetable market in Yeshwanthpur and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2024-08-16,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,12.930447,77.545976,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2024-08-15 18:12:00,2024-08-15 19:13:00,2024-08-16 23:05:09
35,KRMN-0003/2024,"The branch manager of a nationalised bank at Koramangala reported on 15/08/2024 that an account holder, in collusion with an insider, discounted forged cheques and siphoned Rs. 6,245,000 across multiple transactions around 6:45 PM. Internal audit flagged the irregularity.",FIR,2024-08-16,Bengaluru City,Koramangala PS,Charge Sheeted,12.940895,77.548209,Non-Heinous,Economic Offences,Bank Fraud,Bengaluru City District Court,2024-08-15 18:13:00,2024-08-15 20:48:00,2024-08-16 23:30:32
36,WHTF-0002/2024,"On 16/08/2024 around 11:15 PM, the accused drove a white van in a rash and negligent manner near the temple street in Whitefield, endangering pedestrians and colliding with a parked grey KTM motorcycle. The vehicle was seized and the driver subjected to a medical test.",FIR,2024-08-19,Bengaluru City,Whitefield PS,Charge Sheeted,13.004952,77.609501,Non-Heinous,Road Incidents,Rash Driving,Bengaluru City District Court,2024-08-16 23:50:00,2024-08-17 02:05:00,2024-08-18 23:08:06
37,AZDN-0001/2024,"On 16/08/2024, the complainant stated that the accused induced him to pay Rs. 1,388,000 towards booking a site at Bethur Road, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Azad Nagar is closed.",FIR,2024-08-17,Davanagere,Azad Nagar PS,Charge Sheeted,14.487386,75.877663,Non-Heinous,Economic Offences,Cheating,Davanagere District Court,2024-08-16 00:51:00,2024-08-16 04:20:00,2024-08-16 12:19:56
38,JRPR-0001/2024,"The complainant reported that on 16/08/2024 around 10:30 AM his neighbour in Jorapur Peth, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-08-17,Vijayapura,Jorapur Peth PS,Charge Sheeted,16.793375,75.715371,Non-Heinous,Crimes Against Body,Assault,Vijayapura District Court,2024-08-16 10:17:00,2024-08-16 11:59:00,2024-08-17 12:43:56
39,YSHW-0003/2024,"The complainant reported that when the family returned to their house in Yeshwanthpur on 16/08/2024, the main door latch was found broken and gold jewellery, a laptop and cash amounting to Rs. 218,000 were missing. Entry appears to have been made around 3:15 AM through the terrace door.",FIR,2024-08-18,Bengaluru City,Yeshwanthpur PS,Under Investigation,13.022514,77.538815,Non-Heinous,Property Crimes,House Burglary,Bengaluru City District Court,2024-08-16 03:05:00,2024-08-16 06:15:00,2024-08-17 21:05:18
40,JYNG-0006/2024,"Despite prohibitory orders in force, a mob gathered around 8:00 AM on 16/08/2024 in front of the Jayanagar government office demanding action on a local dispute, obstructing public servants from discharging duty. The crowd dispersed after police intervention.",FIR,2024-08-17,Bengaluru City,Jayanagar PS,Closed,13.019918,77.609301,Non-Heinous,Public Order,Unlawful Assembly,Bengaluru City District Court,2024-08-16 08:52:00,2024-08-16 09:16:00,2024-08-17 06:07:52
41,WHTF-0003/2024,"On 17/08/2024 around 2:45 AM, following a dispute over parking near the market road in Whitefield, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-08-18,Bengaluru City,Whitefield PS,Charge Sheeted,13.004359,77.611288,Non-Heinous,Crimes Against Body,Assault,Bengaluru City District Court,2024-08-17 02:23:00,2024-08-17 02:26:00,2024-08-18 15:54:56
42,SLGM-0001/2024,"Between the night of 17/08/2024 and the following morning, burglars gained entry into a locked house at Salagame Road by cutting the window grill and decamped with valuables worth Rs. 359,000. Fingerprints were lifted from the almirah and a dog squad was pressed into service.",FIR,2024-08-19,Hassan,Salagame Road PS,Charge Sheeted,13.032862,76.126663,Non-Heinous,Property Crimes,House Burglary,Hassan District Court,2024-08-17 23:40:00,2024-08-18 02:29:00,2024-08-19 22:24:52
43,LSHK-0001/2024,"On 17/08/2024, the complainant, a student of Lashkar college, reported that the accused loiters near her house around 4:00 PM, monitors her movements and has sent over 92 messages from multiple accounts despite being blocked.",FIR,2024-08-19,Mysuru,Lashkar PS,Charge Sheeted,12.29911,76.646101,Non-Heinous,Crimes Against Women,Stalking,Mysuru District Court,2024-08-17 16:17:00,2024-08-17 19:39:00,2024-08-18 11:40:42
44,GKLR-0001/2024,"The complainant reported theft of his blue Activa scooter from the paid parking lot near the Gokul Road railway station on 17/08/2024 around 4:00 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 84,000.",FIR,2024-08-17,Hubballi-Dharwad,Gokul Road PS,Charge Sheeted,15.33205,75.079439,Non-Heinous,Property Crimes,Vehicle Theft,Hubballi-Dharwad District Court,2024-08-17 04:37:00,2024-08-17 05:37:00,2024-08-17 18:15:57
45,YSHW-0004/2024,"On 17/08/2024 around 10:30 AM, an elderly woman on her morning walk near the metro station, Yeshwanthpur was targeted by a chain snatcher on a blue Activa scooter who fled towards the Whitefield ring road with her gold chain worth Rs. 139,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2024-08-18,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,12.976947,77.569722,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2024-08-17 10:48:00,2024-08-17 12:43:00,2024-08-18 13:07:44
46,OLDH-0001/2024,"Acting on a tip-off, a raid was conducted on 17/08/2024 around 12:15 PM at a rented room in Old Hubballi where 5 kg of ganja packed in small pouches was recovered along with cash of Rs. 79,000. The accused was peddling near the Gokul Road college campus.",FIR,2024-08-19,Hubballi-Dharwad,Old Hubballi PS,Under Investigation,15.405701,75.114409,Non-Heinous,Narcotics,Ganja Possession,Hubballi-Dharwad District Court,2024-08-17 12:26:00,2024-08-17 13:04:00,2024-08-19 00:32:15
47,JYNG-0007/2024,"On 17/08/2024, the complainant stated that the accused induced him to pay Rs. 696,000 towards booking a site at Cubbon Park, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Jayanagar is closed.",Zero FIR,2024-08-19,Bengaluru City,Jayanagar PS,Closed,12.955248,77.54292,Non-Heinous,Economic Offences,Cheating,Bengaluru City District Court,2024-08-17 15:49:00,2024-08-17 19:27:00,2024-08-19 00:17:47
48,HSSN-0002/2024,"On 18/08/2024, the complainant, a student of Hassan Town college, reported that the accused loiters near her house around 4:15 AM, monitors her movements and has sent over 264 messages from multiple accounts despite being blocked.",FIR,2024-08-19,Hassan,Hassan Town PS,Closed,12.97407,76.075954,Non-Heinous,Crimes Against Women,Stalking,Hassan District Court,2024-08-18 04:29:00,2024-08-18 07:43:00,2024-08-19 06:15:08
49,ADRS-0002/2024,"The complainant, a college student from Adarsh Nagar, reported on 18/08/2024 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 2:30 AM and continues to be active despite reporting.",FIR,2024-08-19,Vijayapura,Adarsh Nagar PS,Under Investigation,16.795989,75.658475,Non-Heinous,Cyber Crimes,Social Media Harassment,Vijayapura District Court,2024-08-18 02:05:00,2024-08-18 02:10:00,2024-08-19 15:41:37
50,OLDH-0002/2024,"On 18/08/2024 around 12:30 PM, following a dispute over parking near the park entrance in Old Hubballi, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-08-19,Hubballi-Dharwad,Old Hubballi PS,Charge Sheeted,15.40486,75.104303,Non-Heinous,Crimes Against Body,Assault,Hubballi-Dharwad District Court,2024-08-18 12:12:00,2024-08-18 14:02:00,2024-08-19 07:04:23
51,KRMN-0004/2024,"On 18/08/2024, the complainant of Koramangala stated that her husband, addicted to alcohol, has been beating her frequently and taunting her over dowry. The previous night around 6:15 PM he assaulted her with a belt in front of the children. Medical examination was conducted at the district hospital.",FIR,2024-08-19,Bengaluru City,Koramangala PS,Charge Sheeted,13.007823,77.604919,Non-Heinous,Crimes Against Women,Domestic Cruelty,Bengaluru City District Court,2024-08-18 18:09:00,2024-08-18 18:15:00,2024-08-19 01:46:11
52,KVMP-0002/2024,"Patrol staff noticed a red Splendor motorcycle being ridden around 10:00 PM on 19/08/2024 in a zig-zag manner at high speed near Kuvempunagar, performing wheelies amid traffic. The rider, without a valid licence, was intercepted after a short chase near Devaraja.",FIR,2024-08-20,Mysuru,Kuvempunagar PS,Under Investigation,12.32206,76.662504,Non-Heinous,Road Incidents,Rash Driving,Mysuru District Court,2024-08-19 22:00:00,2024-08-19 22:28:00,2024-08-20 01:04:25
53,INDR-0002/2024,"On 19/08/2024 around 10:45 PM, the accused drove a grey Bolero pickup in a rash and negligent manner near the main road junction in Indiranagar, endangering pedestrians and colliding with a parked red Splendor motorcycle. The vehicle was seized and the driver subjected to a medical test.",UDR,2024-08-21,Bengaluru City,Indiranagar PS,Under Investigation,12.973735,77.569974,Non-Heinous,Road Incidents,Rash Driving,Bengaluru City District Court,2024-08-19 22:13:00,2024-08-19 22:43:00,2024-08-21 01:35:44
54,VNBN-0001/2024,"On 19/08/2024, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 1,167,000 in tranches from her account in Vinoba Nagar. The platform domain was registered abroad and has since gone offline.",FIR,2024-08-20,Shivamogga,Vinoba Nagar PS,Closed,13.979351,75.593887,Non-Heinous,Cyber Crimes,Investment Scam,Shivamogga District Court,2024-08-19 12:16:00,2024-08-19 14:52:00,2024-08-20 17:52:57
55,KHDB-0001/2024,"On 19/08/2024, the complainant, employed at a private firm in Khade Bazar, reported persistent harassment by a co-worker who follows her around 9:30 AM and makes unwelcome advances despite repeated warnings from the management.",FIR,2024-08-19,Belagavi,Khade Bazar PS,Under Investigation,15.800897,74.452496,Non-Heinous,Crimes Against Women,Harassment,Belagavi District Court,2024-08-19 09:03:00,2024-08-19 12:38:00,2024-08-19 17:29:34
56,MSKM-0001/2024,"On 19/08/2024, the complainant, employed at a private firm in MSK Mill, reported persistent harassment by a co-worker who follows her around 3:15 PM and makes unwelcome advances despite repeated warnings from the management.",FIR,2024-08-20,Kalaburagi,MSK Mill PS,Closed,17.321249,76.873971,Non-Heinous,Crimes Against Women,Harassment,Kalaburagi District Court,2024-08-19 15:52:00,2024-08-19 18:23:00,2024-08-20 05:34:34
57,KRMN-0005/2024,"The complainant reported theft of his black Apache motorcycle from the paid parking lot near the Koramangala railway station on 19/08/2024 around 7:30 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 109,000.",FIR,2024-08-20,Bengaluru City,Koramangala PS,Closed,12.938827,77.571787,Non-Heinous,Property Crimes,Vehicle Theft,Bengaluru City District Court,2024-08-19 07:26:00,2024-08-19 08:36:00,2024-08-20 09:56:11
58,VDYN-0001/2024,"The complainant, a resident of Vidyanagar, reported that while returning from the market around 9:00 PM on 20/08/2024, the pillion rider of a black Apache motorcycle without number plates snatched her mangalsutra valued at Rs. 193,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2024-08-22,Hubballi-Dharwad,Vidyanagar PS,Under Investigation,15.409436,75.142512,Non-Heinous,Property Crimes,Chain Snatching,Hubballi-Dharwad District Court,2024-08-20 21:26:00,2024-08-20 23:08:00,2024-08-22 14:09:15
59,GKLR-0002/2024,"On 20/08/2024 around 4:45 AM, following a dispute over parking near the metro station in Gokul Road, the accused abused the complainant in filthy language and assaulted him with fists and a wooden stick, causing injuries to his head and arm. The injured was shifted to the government hospital.",FIR,2024-08-20,Hubballi-Dharwad,Gokul Road PS,Closed,15.394085,75.155372,Non-Heinous,Crimes Against Body,Assault,Hubballi-Dharwad District Court,2024-08-20 04:02:00,2024-08-20 05:31:00,2024-08-20 10:21:45
60,JRPR-0002/2024,"On credible information, police intercepted a red Splendor motorcycle near Jorapur Peth on 21/08/2024 around 1:30 AM and seized LSD strips and MDMA crystals worth Rs. 413,000 from the rider. The accused was supplying synthetic drugs to students around Adarsh Nagar. Forward and backward linkages are being investigated.",FIR,2024-08-22,Vijayapura,Jorapur Peth PS,Charge Sheeted,16.848854,75.751923,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Vijayapura District Court,2024-08-21 01:11:00,2024-08-21 04:28:00,2024-08-21 21:51:49
